ID,total_length_of_exons,mean,std,min,25%,50%,75%,max,sample_name
0,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
1,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
2,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
3,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
4,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
5,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
6,1443,297.34650034650036,39.31102859715932,186,269.0,301.0,330.0,373,PVAL_72_S8
7,1659,343.2471368294153,54.91174338939432,219,307.0,340.0,372.0,460,PVAL_72_S8
8,4863,310.83281924737815,68.09799645325685,95,275.0,319.0,352.0,460,PVAL_72_S8
9,8532,372.06106422878577,50.592829669481446,188,354.0,385.0,405.0,491,PVAL_72_S8
10,8532,372.06106422878577,50.592829669481446,188,354.0,385.0,405.0,491,PVAL_72_S8
11,8478,374.242745930644,49.58010360233909,188,357.0,386.0,406.0,491,PVAL_72_S8
12,8532,372.06106422878577,50.592829669481446,188,354.0,385.0,405.0,491,PVAL_72_S8
13,8586,371.63894712322383,50.719527215967794,188,353.0,385.0,405.0,491,PVAL_72_S8
14,8562,373.12555477692126,50.61113724053838,188,356.0,386.0,406.0,491,PVAL_72_S8
15,8457,372.95293839422965,50.47987233127618,188,356.0,386.0,406.0,491,PVAL_72_S8
16,8448,373.17163825757575,49.581687012966746,188,356.0,385.0,405.0,491,PVAL_72_S8
17,8409,372.951361636342,49.92087353049072,188,355.0,386.0,405.0,491,PVAL_72_S8
18,8355,373.3909036505087,49.77260394057949,188,356.0,386.0,406.0,491,PVAL_72_S8
19,8259,373.75154377043225,50.465779354990914,188,357.0,386.0,406.0,491,PVAL_72_S8
20,8229,372.6501397496658,50.45951431949837,188,355.0,385.0,405.0,491,PVAL_72_S8
21,8154,373.58057395143487,50.329550007315845,188,357.0,386.0,406.0,491,PVAL_72_S8
22,8052,374.04297069051165,49.585354510759075,188,357.0,386.0,406.0,491,PVAL_72_S8
23,7683,380.5346869712352,42.89004290643427,192,364.0,388.0,408.0,491,PVAL_72_S8
24,9171,309.803838185585,41.31119776177024,171,281.0,312.0,339.0,418,PVAL_72_S8
25,9171,309.803838185585,41.31119776177024,171,281.0,312.0,339.0,418,PVAL_72_S8
26,339,272.01769911504425,27.825741232959782,207,251.0,274.0,297.0,316,PVAL_72_S8
27,339,272.01769911504425,27.825741232959786,207,251.0,274.0,297.0,316,PVAL_72_S8
28,2190,319.76666666666665,48.490864980939094,196,288.0,321.0,360.0,409,PVAL_72_S8
29,2304,297.70269097222223,74.4928761622304,23,284.75,316.0,336.0,395,PVAL_72_S8
30,2421,301.04997934737713,74.54302366463068,23,287.0,318.0,339.0,406,PVAL_72_S8
31,2424,301.09983498349834,74.50168985426258,23,287.0,318.0,338.0,406,PVAL_72_S8
32,2313,297.59489840034587,74.36800451181739,23,284.0,316.0,336.0,395,PVAL_72_S8
33,2277,293.9732103645147,75.2250091796434,23,282.0,312.0,333.0,395,PVAL_72_S8
34,2235,296.8859060402685,75.3772306808958,23,284.0,315.0,336.0,395,PVAL_72_S8
35,2202,298.0004541326067,76.05057918896921,23,285.25,318.0,337.0,395,PVAL_72_S8
36,2193,296.54765161878703,76.03127739035102,23,284.0,315.0,336.0,395,PVAL_72_S8
37,2148,314.7276536312849,36.08382879103759,176,293.0,319.0,337.25,395,PVAL_72_S8
38,2145,314.6904428904429,36.11547642166487,176,293.0,319.0,338.0,395,PVAL_72_S8
39,2136,295.0187265917603,77.99294765132642,0,284.0,314.0,334.0,395,PVAL_72_S8
40,2040,290.46862745098036,75.38854071209884,23,282.0,310.0,331.25,379,PVAL_72_S8
41,2301,297.6458061712299,74.53386254649496,23,284.0,316.0,336.0,395,PVAL_72_S8
42,5592,345.3825107296137,28.773325779882093,220,331.0,347.0,362.0,430,PVAL_72_S8
