name	name2
NM_001142467.2	HES4
NM_001142467.2	HES4
NM_001142467.2	HES4
NM_001010926.4	HES5
NM_001010926.4	HES5
NM_001010926.4	HES5
NM_001297605.1	TNFRSF14
NM_001297605.1	TNFRSF14
NM_XXX	LINC01345
NM_XXX	KCNAB2
NM_XXX	KCNAB2
NM_000983.4	RPL22
NM_000983.4	RPL22
NM_000983.4	RPL22
NM_000983.4	RPL22
NM_001024598.4	HES3
NM_001024598.4	HES3
NM_001024598.4	HES3
NM_019089.5	HES2
NM_019089.5	HES2
NM_019089.5	HES2
NM_019089.5	HES2
NM_XXX	DNAJC11
NM_XXX	CAMTA1
NM_018948.4	ERRFI1
NM_018948.4	ERRFI1
NM_018948.4	ERRFI1
NM_XXX	SLC2A5
NM_XXX	PIK3CD
NM_005026.5	PIK3CD
NM_XXX	PIK3CD
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_XXX	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_183416.4	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_001365951.2	KIF1B
NM_XXX	PEX14
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_021146.4	ANGPTL7
NM_021146.4	ANGPTL7
NM_021146.4	ANGPTL7
NM_021146.4	ANGPTL7
NM_021146.4	ANGPTL7
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_004958.4	MTOR
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_006341.4	MAD2L2
NM_XXX	MIR7846
NM_XXX	PDPN
NM_015866.4	PRDM2
NM_XXX	KAZN-AS1
NM_XXX	FHAD1
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_015001.3	SPEN
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_004431.5	EPHA2
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_003000.3	SDHB
NM_XXX	SDHB
NM_003000.3	SDHB
NM_XXX	ACTL8
NM_XXX	KLHDC7A
NM_XXX	OTUD3
NM_XXX	DDOST
NM_XXX	ECE1
NM_017449.4	EPHB2
NM_XXX	TEX46
NM_001102398.3	HNRNPR
NM_002167.5	ID3
NM_002167.5	ID3
NM_003198.2	ELOA
NM_XXX	MYOM3
NM_XXX	GRHL3
NM_XXX	MACO1
NM_XXX	ZNF683
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_139135.4	ARID1A
NM_015023.5	WDTC1
NM_022873.3	IFI6
NM_XXX	THEMIS2
NM_XXX	SESN2
NM_001048183.3	PHACTR4
NM_001135218.2	TAF12
NM_XXX	EPB41
NM_XXX	LINC01756
NM_XXX	MATN1-AS1
NM_XXX	TINAGL1
NM_001369859.1	PTP4A2
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_004964.3	HDAC1
NM_XXX	ZNF362
NM_XXX	CSMD2
NM_005095.3	ZMYM4
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_001321473.2	THRAP3
NM_XXX	CSF3R
NM_001323550.2	ZC3H12A
NM_001323550.2	ZC3H12A
NM_001323550.2	ZC3H12A
NM_001323550.2	ZC3H12A
NM_001323550.2	ZC3H12A
NM_XXX	GNL2
NM_XXX	LINC01685
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_015038.2	KIAA0754
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_012090.5	MACF1
NM_XXX	HPCAL4
NM_001033081.3	MYCL
NM_001033082.3	MYCL
NM_001033081.3	MYCL
NM_XXX	ZFP69B
NM_XXX	HIVEP3
NM_XXX	PPIH
NM_XXX	PTPRF
NM_XXX	RNF220
NM_020365.5	EIF2B3
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001293195.1	MUTYH
NM_001128425.1	MUTYH
NM_XXX	MAST2
NM_XXX	LOC110117498-PIK3R3
NM_001142548.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NM_001370766.1	RAD54L
NR_002788.2	CYP4Z2P
NM_XXX	TRABD2B
NM_XXX	AGBL4
NM_XXX	AGBL4
NM_XXX	ELAVL4
NM_001262.2	CDKN2C
NM_001262.2	CDKN2C
NM_XXX	ZYG11B
NM_XXX	SLC1A7
NM_XXX	LEXM
NM_XXX	USP24
NM_XXX	PRKAA2
NM_XXX	DAB1
NM_XXX	MYSM1
NM_002228.4	JUN
NM_XXX	FGGY
NM_XXX	FGGY
NM_XXX	LINC01748
NM_001145511.2	NFIA
NM_XXX	MGC34796
NM_XXX	ATG4C
NM_XXX	LINC01739
NM_XXX	UBE2U
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_001320923.1	JAK1
NM_XXX	PDE4B
NM_XXX	SGIP1
NM_XXX	IL23R
NM_XXX	WLS
NM_XXX	LRRC7
NM_XXX	LINC01788
NM_XXX	NEGR1
NM_XXX	LINC01360
NM_XXX	FPGT-TNNI3K
NM_001105659.2	LRRIQ3
NM_XXX	ERICH3-AS1
NM_XXX	SLC44A5
NM_XXX	LINC02567
NM_XXX	AK5
NM_001303433.1	FUBP1
NM_001303433.1	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NM_001303433.1	FUBP1
NR_146540.2	FUBP1
NR_146540.2	FUBP1
NM_XXX	FUBP1
NM_XXX	ADGRL4
NM_XXX	ADGRL2
NM_XXX	ADGRL2
NM_XXX	LINC01362
NM_XXX	TTLL7
NM_XXX	DNASE2B
NM_032184.2	SYDE2
NM_XXX	BCL10
NM_XXX	BCL10
NM_XXX	BCL10
NM_XXX	DDAH1
NM_XXX	CLCA2
NM_001285.4	CLCA1
NM_XXX	LINC01364
NM_XXX	PKN2
NM_001319179.1	GBP3
NM_XXX	LRRC8C
NM_XXX	LINC02609
NM_XXX	ZNF644
NR_146333.1	RPL5
NM_001252273.1	DIPK1A
NR_146333.1	RPL5
NR_146333.1	RPL5
NR_146333.1	RPL5
NR_146333.1	RPL5
NR_146333.1	RPL5
NR_146333.1	RPL5
NR_146333.1	RPL5
NM_001306076.1	CCDC18
NM_017737.5	FNBP1L
NM_XXX	BCAR3
NM_XXX	ABCD3
NM_XXX	TLCD4
NM_XXX	PTBP2
NR_046590.1	DPYD-AS1
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_XXX	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_XXX	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_001160301.1	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_000110.4	DPYD
NM_001160301.1	DPYD
NM_XXX	LINC01776
NM_XXX	LINC01708
NM_033055.3	MFSD14A
NM_XXX	CDC14A
NM_XXX	S1PR1
NM_XXX	OLFM3
NM_XXX	AMY1B
NM_XXX	LINC01661
NM_XXX	LINC01677
NM_XXX	MIR7852
NM_XXX	SLC25A24
NM_XXX	KIAA1324
NM_XXX	SLC6A17
NM_001201547.1	SLC16A4
NM_XXX	LRIF1
NM_XXX	KCND3
NM_001142782.2	MAGI3
NM_XXX	AP4B1-AS1
NM_002524.5	NRAS
NM_002524.5	NRAS
NM_002524.5	NRAS
NM_002524.5	NRAS
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
NM_001242891.1	CSDE1
