name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	0	91	971256	9.37e-5
all	1	36	971256	3.71e-5
all	2	49	971256	5.05e-5
all	3	18	971256	1.85e-5
all	5	18	971256	1.85e-5
all	6	98	971256	1.009e-4
all	7	4	971256	4.1e-6
all	8	28	971256	2.88e-5
all	10	2	971256	2.1e-6
all	11	4	971256	4.1e-6
all	12	6	971256	6.2e-6
all	13	2	971256	2.1e-6
all	14	4	971256	4.1e-6
all	15	4	971256	4.1e-6
all	16	10	971256	1.03e-5
all	18	4	971256	4.1e-6
all	20	24	971256	2.47e-5
all	21	6	971256	6.2e-6
all	22	4	971256	4.1e-6
all	23	8	971256	8.2e-6
all	24	2	971256	2.1e-6
all	25	4	971256	4.1e-6
all	26	3	971256	3.1e-6
all	27	4	971256	4.1e-6
all	28	6	971256	6.2e-6
all	29	7	971256	7.2e-6
all	30	6	971256	6.2e-6
all	31	15	971256	1.54e-5
all	32	9	971256	9.3e-6
all	33	8	971256	8.2e-6
all	34	28	971256	2.88e-5
all	35	36	971256	3.71e-5
all	36	13	971256	1.34e-5
all	37	23	971256	2.37e-5
all	38	3	971256	3.1e-6
all	39	6	971256	6.2e-6
all	40	10	971256	1.03e-5
all	41	3	971256	3.1e-6
all	42	14	971256	1.44e-5
all	43	2	971256	2.1e-6
all	44	9	971256	9.3e-6
all	45	4	971256	4.1e-6
all	46	10	971256	1.03e-5
all	48	24	971256	2.47e-5
all	49	7	971256	7.2e-6
all	50	11	971256	1.13e-5
all	51	15	971256	1.54e-5
all	52	3	971256	3.1e-6
all	53	8	971256	8.2e-6
all	54	11	971256	1.13e-5
all	55	11	971256	1.13e-5
all	56	15	971256	1.54e-5
all	57	8	971256	8.2e-6
all	58	19	971256	1.96e-5
all	59	11	971256	1.13e-5
all	60	19	971256	1.96e-5
all	61	14	971256	1.44e-5
all	62	31	971256	3.19e-5
all	63	58	971256	5.97e-5
all	64	45	971256	4.63e-5
all	65	37	971256	3.81e-5
all	66	20	971256	2.06e-5
all	67	13	971256	1.34e-5
all	68	65	971256	6.69e-5
all	69	25	971256	2.57e-5
all	70	27	971256	2.78e-5
all	71	46	971256	4.74e-5
all	72	76	971256	7.82e-5
all	73	93	971256	9.58e-5
all	74	81	971256	8.34e-5
all	75	34	971256	3.5e-5
all	76	20	971256	2.06e-5
all	77	151	971256	1.555e-4
all	78	104	971256	1.071e-4
all	79	50	971256	5.15e-5
all	80	23	971256	2.37e-5
all	81	74	971256	7.62e-5
all	82	54	971256	5.56e-5
all	83	48	971256	4.94e-5
all	84	90	971256	9.27e-5
all	85	27	971256	2.78e-5
all	86	16	971256	1.65e-5
all	87	48	971256	4.94e-5
all	88	52	971256	5.35e-5
all	89	46	971256	4.74e-5
all	90	51	971256	5.25e-5
all	91	53	971256	5.46e-5
all	92	37	971256	3.81e-5
all	93	30	971256	3.09e-5
all	94	39	971256	4.02e-5
all	95	16	971256	1.65e-5
all	96	60	971256	6.18e-5
all	97	37	971256	3.81e-5
all	98	26	971256	2.68e-5
all	99	42	971256	4.32e-5
all	100	35	971256	3.6e-5
all	101	28	971256	2.88e-5
all	102	39	971256	4.02e-5
all	103	43	971256	4.43e-5
all	104	35	971256	3.6e-5
all	105	44	971256	4.53e-5
all	106	61	971256	6.28e-5
all	107	48	971256	4.94e-5
all	108	60	971256	6.18e-5
all	109	253	971256	2.605e-4
all	110	125	971256	1.287e-4
all	111	66	971256	6.8e-5
all	112	71	971256	7.31e-5
all	113	56	971256	5.77e-5
all	114	57	971256	5.87e-5
all	115	133	971256	1.369e-4
all	116	35	971256	3.6e-5
all	117	45	971256	4.63e-5
all	118	101	971256	1.04e-4
all	119	91	971256	9.37e-5
all	120	67	971256	6.9e-5
all	121	51	971256	5.25e-5
all	122	143	971256	1.472e-4
all	123	134	971256	1.38e-4
all	124	95	971256	9.78e-5
all	125	65	971256	6.69e-5
all	126	90	971256	9.27e-5
all	127	132	971256	1.359e-4
all	128	125	971256	1.287e-4
all	129	60	971256	6.18e-5
all	130	60	971256	6.18e-5
all	131	121	971256	1.246e-4
all	132	80	971256	8.24e-5
all	133	88	971256	9.06e-5
all	134	35	971256	3.6e-5
all	135	106	971256	1.091e-4
all	136	87	971256	8.96e-5
all	137	119	971256	1.225e-4
all	138	117	971256	1.205e-4
all	139	123	971256	1.266e-4
all	140	143	971256	1.472e-4
all	141	109	971256	1.122e-4
all	142	152	971256	1.565e-4
all	143	179	971256	1.843e-4
