coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	580673	0
1	120187	0
2	49496	0
3	30057	0
4	19480	0
5	14866	0
6	11788	0
7	10067	0
8	9078	0
9	8270	0
10	7262	0
11	6636	0
12	6402	0
13	6168	0
14	5831	7381998
15	5566	0
16	5190	0
17	4913	0
18	5009	0
19	4864	0
20	4663	0
21	4552	949310
22	4301	0
23	4225	0
24	4172	0
25	4064	0
26	3895	0
27	3836	5393395
28	3827	0
29	3610	0
30	3539	0
31	3545	0
32	3555	20251686
33	3557	0
34	3487	0
35	3352	0
36	3259	130902478
37	3134	0
38	3131	0
39	3092	0
40	3052	0
41	2949	0
42	2941	0
43	2877	0
44	2676	0
45	2678	0
46	2819	0
47	2641	0
48	2647	0
49	2655	0
50	2618	0
51	2616	0
52	2507	0
53	2519	0
54	2562	0
55	2530	0
56	2458	0
57	2423	0
58	2450	0
59	2408	0
60	2411	0
61	2477	0
62	2367	0
63	2491	0
64	2396	0
65	2360	0
66	2348	0
67	2366	0
68	2305	0
69	2431	0
70	2280	0
71	2243	0
72	2193	0
73	2148	0
74	2206	0
75	2141	0
76	1992	0
77	2091	0
78	2066	0
79	2167	0
80	2212	0
81	2104	0
82	2087	0
83	2129	0
84	2054	0
85	2118	0
86	2005	0
87	2046	0
88	1962	0
89	1877	0
90	1935	0
91	1951	0
92	1915	0
93	1946	0
94	1836	0
95	1780	0
96	1825	0
97	1768	0
98	1717	0
99	1796	0
100	1623	0
101	1650	0
102	1641	0
103	1608	0
104	1671	0
105	1482	0
106	1513	0
107	1557	0
108	1569	0
109	1464	0
110	1484	0
111	1386	0
112	1432	0
113	1320	0
114	1476	0
115	1399	0
116	1351	0
117	1401	0
118	1308	0
119	1391	0
120	1287	0
121	1265	0
122	1251	0
123	1278	0
124	1295	0
125	1273	0
126	1321	0
127	1263	0
128	1288	0
129	1268	0
130	1324	0
131	1282	0
132	1308	0
133	1244	0
134	1249	0
135	1246	0
136	1275	0
137	1216	0
138	1264	0
139	1227	0
140	1276	0
141	1304	0
142	1221	0
143	1315	0
144	1353	0
145	1275	0
146	1354	0
147	1328	0
148	1325	0
149	1351	0
150	1309	0
151	1405	0
152	1446	0
153	1416	0
154	1387	0
155	1464	0
156	1428	0
157	1447	0
158	1423	0
159	1453	0
160	1474	0
161	1577	0
162	1560	0
163	1629	0
164	1656	0
165	1683	0
166	1582	0
167	1642	0
168	1736	0
169	1728	0
170	1774	0
171	1815	0
172	1915	0
173	1922	0
174	1903	0
175	1990	0
176	1949	0
177	1983	0
178	2068	0
179	2124	0
180	2195	0
181	2158	0
182	2316	0
183	2322	0
184	2353	0
185	2507	0
186	2397	0
187	2539	0
188	2525	0
189	2614	0
190	2681	0
191	2786	0
192	2752	0
193	2857	0
194	2826	0
195	2902	0
196	3002	0
197	3092	0
198	3145	0
199	3206	0
200	614022	0
