NCBI_ID,total_exons_length,mean,std,min,25%,50%,75%,max
NM_000110.4,3078,337.46718648473035,99.25527729115771,133,276.0,328.5,382.0,692
NM_001007792.1,2283,949.5037231712658,180.44200128434383,400,834.5,949.0,1089.5,1334
NM_001012331.2,2373,897.0412979351032,231.0535660873628,56,772.0,919.0,1056.0,1334
NM_001014796.3,2568,896.9797507788162,238.47445690072232,369,686.0,895.0,1105.0,1378
NM_001048171.2,1566,524.3965517241379,59.51047772743723,331,485.0,528.0,569.0,663
NM_001048172.2,1569,524.4760994263862,59.48267279928879,331,485.0,528.0,569.0,663
NM_001048173.2,1566,524.3965517241379,59.51047772743723,331,485.0,528.0,569.0,663
NM_001048174.2,1566,524.3965517241379,59.51047772743723,331,485.0,528.0,569.0,663
NM_001128425.2,1650,524.1975757575758,59.09616173063636,331,485.0,528.5,568.0,663
NM_001160301.1,522,314.5727969348659,101.09760143905629,179,247.25,285.5,335.0,622
NM_001293190.2,1611,525.1222842954686,59.09037666915804,331,486.0,530.0,569.0,663
NM_001293191.2,1599,524.1069418386492,59.152148451463916,331,485.0,528.0,568.0,663
NM_001293192.2,1290,518.7449612403101,60.23832350340779,331,481.0,519.0,562.0,663
NM_001293195.2,1566,524.3965517241379,59.51047772743723,331,485.0,528.0,569.0,663
NM_001293196.2,1290,518.7449612403101,60.23832350340779,331,481.0,519.0,562.0,663
NM_001350650.2,1221,516.8927108927109,61.449852573066394,331,479.0,513.0,564.0,663
NM_001350651.2,1221,516.8927108927109,61.449852573066394,331,479.0,513.0,564.0,663
NM_001354982.2,2568,896.9797507788162,238.47445690072232,369,686.0,895.0,1105.0,1378
NM_001354983.2,2568,896.9797507788162,238.47445690072232,369,686.0,895.0,1105.0,1378
NM_002524.5,570,332.45087719298243,85.76683072321578,131,273.25,326.0,411.0,498
NM_002529.4,2391,900.3145127561689,233.2319526097616,56,774.0,920.0,1063.0,1349
NM_006182.4,2568,896.9797507788162,238.47445690072232,369,686.0,895.0,1105.0,1378
NM_012222.3,1641,524.750761730652,58.77740700400567,331,485.0,529.0,568.0,663
NM_000179.3,4083,554.6669115846191,95.84307436846233,301,488.5,536.0,615.0,829
NM_000251.3,2805,454.24313725490197,128.0985825629364,182,351.0,444.0,546.0,782
NM_000463.3,1602,941.0930087390761,219.3718150032042,350,825.0,1014.0,1113.0,1310
NM_001258281.1,2607,437.96854622171077,115.46800133635843,182,346.0,425.0,526.0,706
NM_001281492.2,3693,551.7118873544543,95.59798035711846,301,488.0,532.0,606.0,829
NM_001281493.2,3177,549.7003462385899,93.05595525851119,301,489.0,530.0,598.0,829
