#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
166	NM_000110	chr1	-	97543299	98386590	97544531	98386478	23	97543299,97547885,97564044,97658624,97700407,97770814,97771732,97839116,97847948,97915614,97981281,98015115,98039315,98058773,98060614,98144650,98157272,98164906,98187065,98205947,98293669,98348819,98386439,	97544702,97548026,97564188,97658804,97700550,97770934,97771853,97839200,97848017,97915779,97981497,98015300,98039526,98058943,98060722,98144738,98157354,98165103,98187227,98206035,98293752,98348930,98386590,	0	DPYD	cmpl	cmpl	0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,2,0,0,2,0,0,0,
1781	NM_001007792	chr1	+	156785541	156851642	156785621	156851434	17	156785541,156811872,156834145,156834519,156836701,156837895,156838296,156841414,156843424,156844362,156844697,156845311,156845871,156846191,156848913,156849790,156851248,	156785630,156811985,156834220,156834591,156836770,156838041,156838439,156841547,156843751,156844418,156844800,156845458,156846002,156846364,156849154,156849949,156851642,	0	NTRK1	cmpl	cmpl	0,0,2,2,2,2,1,0,1,1,0,1,1,0,2,0,0,
1781	NM_001012331	chr1	+	156830670	156851642	156830726	156851434	16	156830670,156834145,156834519,156836701,156837895,156838296,156841414,156843424,156844362,156844697,156845311,156845871,156846191,156848913,156849790,156851248,	156830938,156834220,156834591,156836770,156838041,156838439,156841547,156843751,156844418,156844800,156845458,156846002,156846364,156849154,156849949,156851642,	0	NTRK1	cmpl	cmpl	0,2,2,2,2,1,0,1,1,0,1,1,0,2,0,0,
228	NM_001014796	chr1	+	162602253	162757195	162688853	162750036	19	162602253,162625000,162674841,162688826,162722884,162724413,162724945,162725453,162729585,162731000,162735790,162737018,162740091,162741813,162743258,162745441,162745925,162748369,162749901,	162602421,162625164,162674921,162688935,162722987,162724645,162725093,162725559,162729769,162731244,162735853,162737149,162740302,162742037,162743386,162745633,162746160,162748519,162757195,	0	DDR2	cmpl	cmpl	-1,-1,-1,0,1,2,0,1,2,0,1,1,0,1,0,2,2,0,0,
934	NM_001048171	chr1	-	45794913	45806112	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45806112,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001048172	chr1	-	45794913	45805787	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799236,45800183,45805787,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001048173	chr1	-	45794913	45805787	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805647,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45805787,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001048174	chr1	-	45794913	45805642	45794977	45800177	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805570,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799233,45800183,45805642,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,-1,
934	NM_001128425	chr1	-	45794913	45806112	45794977	45805926	16	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890,	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799275,45800183,45806112,	0	MUTYH	cmpl	cmpl	0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,
166	NM_001160301	chr1	-	98185313	98386615	98186443	98386478	6	98185313,98187065,98205947,98293669,98348819,98386439,	98186482,98187227,98206035,98293752,98348930,98386615,	0	DPYD	cmpl	cmpl	0,0,2,0,0,0,
