ID,total_length_of_exons,mean,std,min,25%,50%,75%,max,sample_name
AKT1 NM_001014431.2,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_001014432.2,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_001382430.1,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_001382431.1,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_001382432.1,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_001382433.1,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
AKT1 NM_005163.2,1443,734.7823977823978,96.28590859934509,471,674.0,741.0,802.0,976,PVAL_65_S1
ALK NM_001353765.2,1659,509.5581675708258,76.79515911637229,292,458.0,510.0,555.5,680,PVAL_65_S1
ALK NM_004304.5,4863,493.7248611967921,110.9284495067495,238,413.0,499.0,577.0,786,PVAL_65_S1
APC NM_000038.6,8532,335.72233942803564,53.75015378594975,203,295.0,329.0,368.0,520,PVAL_65_S1
APC NM_001127510.3,8532,335.72233942803564,53.75015378594975,203,295.0,329.0,368.0,520,PVAL_65_S1
APC NM_001127511.3,8478,339.72116065109697,65.0479327297183,203,295.0,329.0,370.0,684,PVAL_65_S1
APC NM_001354895.2,8532,335.72233942803564,53.75015378594975,203,295.0,329.0,368.0,520,PVAL_65_S1
APC NM_001354896.2,8586,335.43862101094805,53.70346561785211,203,295.0,328.0,368.0,520,PVAL_65_S1
APC NM_001354897.2,8562,340.88834384489604,65.8520686752098,203,296.0,330.0,371.0,684,PVAL_65_S1
APC NM_001354898.2,8457,337.66430176185406,59.0416585934716,203,295.0,329.0,369.0,646,PVAL_65_S1
APC NM_001354899.2,8448,334.4996448863636,52.50288880069341,203,295.0,328.0,367.0,520,PVAL_65_S1
APC NM_001354900.2,8409,335.62100130812223,53.953325772720625,203,295.0,328.0,368.0,520,PVAL_65_S1
APC NM_001354901.2,8355,335.9119090365051,54.0013889431262,203,295.0,329.0,368.0,520,PVAL_65_S1
APC NM_001354902.2,8259,340.26722363482264,66.48483023715706,203,295.0,328.0,368.0,684,PVAL_65_S1
APC NM_001354903.2,8229,334.9087373921497,53.96407236482528,203,295.0,327.0,366.0,520,PVAL_65_S1
APC NM_001354904.2,8154,336.9153789551141,59.45173645430996,203,295.0,327.0,367.0,646,PVAL_65_S1
APC NM_001354905.2,8052,335.0875558867362,54.23124886432778,203,295.0,327.0,366.0,520,PVAL_65_S1
APC NM_001354906.2,7683,336.4935572042171,52.020006003590495,203,297.0,330.0,368.0,520,PVAL_65_S1
ATM NM_000051.4,9171,341.3957038490895,74.84259526901144,135,290.0,339.0,388.0,628,PVAL_65_S1
ATM NM_001351834.2,9171,341.3957038490895,74.84259526901144,135,290.0,339.0,388.0,628,PVAL_65_S1
ATM NM_001351835.2,339,409.73746312684364,47.219230431459984,318,373.0,412.0,440.0,500,PVAL_65_S1
ATM NM_001351836.2,339,409.73746312684364,47.219230431459984,318,373.0,412.0,440.0,500,PVAL_65_S1
BAP1 NM_004656.4,2190,726.3191780821918,100.06585747002245,412,652.0,733.0,794.0,945,PVAL_65_S1
BRAF NM_001354609.2,2304,310.42664930555554,88.86716878643455,62,257.0,315.0,369.0,498,PVAL_65_S1
BRAF NM_001374244.1,2421,320.2168525402726,97.38262091549187,62,262.0,319.0,375.0,572,PVAL_65_S1
